CUST_TYPE,C_FIRST_NM,C_MDL_NM,C_LAST_NM,C_GENDER,C_BIRTHDT,C_AGE,C_MARITAL,C_INCOME,C_SRC_CHNL,C_PREF_CHNL,C_CUST_STATUS,C_CUST_LFCYCL,C_EMP_STATUS,C_CRD_RTNG,C_ORG,C_OWN,C_ANN_REV,C_CITY,C_POSTAL,C_STATE,C_COUNTRY,CUST_CODE,C_INCOMEGRP
Corporate,Hasmukh,,Gandhi,Male,26-May-67,38,Single,237476.6144,Direct Mailer,Web,Dormant,Prospect,Employed,8,Haryana Fibres Limited,,1290909.283,Pune,200098,Maharashtra,India,14,"2,00,000PA to 3,00,000PA"
NRI,H,C,Kukreja,Female,24-Jul-76,29,Single,156190.8609,Direct Mailer,Web,Inactive,Acquired,Employed,5,Sweatamber Steel Limited,,1396714.302,Pune,200097,Maharashtra,India,15,"1,00,000PA to 2,00,000PA"
Corporate,Archana,,Khare,Male,28-Jul-77,28,Married,477551.7132,Direct Mailer,Web,Active,Attrition,Unemployed,7,Punjab Alkalies & Chemicals Limited,,1022944.05,Mumbai,400007,Maharashtra,India,16,"4,00,000PA to 5,00,000PA"
Individual,Pran,,Bakshi,Male,30-Jan-67,38,Single,280894.3125,Direct Mailer,Web,Active,Mature,Employed,1,Sterling Tools Limited,,1490132.389,Mumbai,400052,Maharashtra,India,17,"2,00,000PA to 3,00,000PA"
NRI,Avani,Sanghvi,Minor,Male,04-May-67,38,Single,419437.0474,SMS,Telephone,Inactive,Acquired,Self Employed,6,P I Drugs and Pharmaceuticals Limited,Private,1200046.923,Mumbai,400001,Maharashtra,India,18,"4,00,000PA to 5,00,000PA"
Individual,Shreyas,Priyavadan,Desai,Male,13-Jul-69,36,Single,314118.8993,Direct Mailer,Web,Active,Mature,Employed,1,R P G Cables Limited,,1258322.779,Ahmedabad,215008,Gujarat,India,19,"3,00,000PA to 4,00,000PA"
Corporate,Dhruv,,Parekh,Female,14-Apr-70,35,Married,312060.1484,Direct Mailer,Web,Active,Mature,Unemployed,9,Zyden Gentec Limited,,1385078.542,Mysore,110009,Karnataka,India,20,"3,00,000PA to 4,00,000PA"
NRI,Mohit,Tulsidas,Jumani,Male,15-Jan-73,32,Single,405892.4023,Direct Mailer,Web,Dormant,Prospect,Employed,9,National Plastic Industries Limited,,1340249.947,Mangalore,130009,Karnataka,India,21,"4,00,000PA to 5,00,000PA"
Corporate,Satish,Mahadev,Mahindrak,Male,26-Oct-79,26,Single,202110.9306,Direct Mailer,Web,Active,Mature,Employed,2,G H C L Limited,,1292518.313,Bangalore,110007,Karnataka,India,22,"2,00,000PA to 3,00,000PA"
Individual,Payal,,Dagli,Male,01-Mar-78,27,Single,168432.9017,Direct Mailer,Web,Active,Mature,Employed,3,Standard Medical & Pharmaceuticals Limited,,1070585.671,Ahmedabad,215008,Gujarat,India,23,"1,00,000PA to 2,00,000PA"
NRI,Ranjan,,Parikh,Male,06-Jan-79,26,Married,397804.8857,SMS,Telephone,Inactive,Attrition,Unemployed,9,Supreme Oriented Films Limited,,1355366.137,Bangalore,110001,Karnataka,India,24,"3,00,000PA to 4,00,000PA"
Individual,Alka,,Deshpande,Female,20-Nov-71,34,Single,306314.4404,Direct Mailer,Web,Active,Mature,Employed,7,Asutosh Enterprise Limited,,1167408.565,Surat,210030,Gujarat,India,25,"3,00,000PA to 4,00,000PA"
Corporate,Tanu,,Malik,Male,05-Dec-71,34,Single,459895.8159,Direct Mailer,Web,Active,Mature,Employed,8,Praveen Properties Limited,,1191628.765,Pune,200009,Maharashtra,India,26,"4,00,000PA to 5,00,000PA"
NRI,Priya,,Samant,Male,27-Jun-67,38,Single,376192.9476,Direct Mailer,Web,Inactive,Acquired,Self Employed,5,·Brothers Computers & Software (I) Ltd,Public,1184030.927,Mysore,130010,Karnataka,India,27,"3,00,000PA to 4,00,000PA"
Corporate,Anupam,,Goradia,Male,09-Jul-66,39,Married,422917.3541,Direct Mailer,Web,Dormant,Prospect,Unemployed,3,Swaraj Engines Limited,,1250972.038,Pune,200098,Maharashtra,India,28,"4,00,000PA to 5,00,000PA"
Individual,Koduvayur,,Venkatachalam,Male,14-Sep-68,37,Single,360652.2112,Direct Mailer,Web,Active,Mature,Employed,5,HEM Holdings & Trading Limited,,1418329.376,Ahmedabad,215008,Gujarat,India,29,"3,00,000PA to 4,00,000PA"
NRI,Divakar,R,Shetty,,26-May-77,28,Single,316106.9534,Fax,Direct Mailer,Inactive,Acquired,Employed,2,Procter & Gamble Hygiene And Health Care Limited,,1149565.827,Pune,200097,Maharashtra,India,30,"3,00,000PA to 4,00,000PA"
Individual,Sunil,C,Zemse,Male,04-Oct-66,39,Single,326892.4792,Direct Mailer,Web,Active,Mature,Employed,9,Minisoft Limited,,1313971.869,Ahmedabad,215008,Gujarat,India,31,"3,00,000PA to 4,00,000PA"
Corporate,Sheetal,S,Zemse,Male,08-Jan-76,29,Married,152828.2356,Direct Mailer,Web,Active,Attrition,Unemployed,3,Netvista Information Technology Limited,,1391856.627,Mumbai,400007,Maharashtra,India,32,"1,00,000PA to 2,00,000PA"
NRI,Suresh,,Purohit,Male,17-Aug-74,31,Single,349708.7521,Direct Mailer,Web,Inactive,Acquired,Employed,1,Leafin India Limited,,1104817.002,Bangalore,110007,Karnataka,India,33,"3,00,000PA to 4,00,000PA"
Corporate,Vinayak,Mahableshwar,Ken,Male,13-Jul-75,30,Single,332960.3982,Direct Mailer,Web,Active,Mature,Employed,5,Incorporated Engineers Limited,,1435040.26,Mumbai,400052,Maharashtra,India,34,"3,00,000PA to 4,00,000PA"
Individual,P,,Aravindakshan,Female,11-Mar-67,38,Single,417282.7035,Direct Mailer,Web,Dormant,Prospect,Employed,3,·CIFCO Finance,,1319762.691,Mangalore,130009,Karnataka,India,35,"4,00,000PA to 5,00,000PA"
NRI,Thomas,Loyala,Soares,Male,27-Jul-71,34,Married,477782.7706,SMS,Telephone,Inactive,Acquired,Self Employed,7,Majestic Industries Limited,Private,1383012.915,Mumbai,400001,Maharashtra,India,36,"4,00,000PA to 5,00,000PA"
Individual,Mukund,,Kothari,Male,09-Jun-72,33,Single,428339.4672,Direct Mailer,Web,Active,Mature,Employed,7,Shreenath Commercial & Finance Limited,,1004293.445,Ahmedabad,215008,Gujarat,India,37,"4,00,000PA to 5,00,000PA"
Corporate,Rehana,Iqbal,Sayani,Male,28-Jan-77,28,Single,279433.4049,Direct Mailer,Web,Active,Mature,Employed,5,A D F Foods Limited,,1192988.842,Ahmedabad,215001,Gujarat,India,38,"2,00,000PA to 3,00,000PA"
NRI,Lalitha,,Dasan,Male,26-Nov-77,28,Single,336205.9857,Direct Mailer,Web,Inactive,Acquired,Employed,1,·Cubical Financial Services,,1462114.622,Pune,200009,Maharashtra,India,39,"3,00,000PA to 4,00,000PA"
Corporate,Sajeet,,Dasan,Female,01-May-70,35,Married,244706.8079,Direct Mailer,Web,Active,Attrition,Unemployed,4,Spectra Industries Limited,,1040594.35,Mysore,110009,Karnataka,India,40,"2,00,000PA to 3,00,000PA"
Individual,Virmati,,Mehta,Male,10-Oct-73,32,Single,232208.824,Direct Mailer,Web,Active,Mature,Employed,3,Oasis Media Matrix Limited,,1151268.169,Ahmedabad,215008,Gujarat,India,41,
NRI,Deepak,,Shahani,Male,03-Aug-76,29,Single,268839.0936,SMS,Telephone,Dormant,Prospect,Employed,4,Sree Meenakshi Mills Limited,,1398806.312,Pune,200098,Maharashtra,India,42,"2,00,000PA to 3,00,000PA"
Individual,Rajiv,G,Shah,Male,19-Apr-72,33,Single,490316.2677,Direct Mailer,Web,Active,Mature,Employed,4,·Continental Construction,,1096154.698,Ahmedabad,215008,Gujarat,India,43,"4,00,000PA to 5,00,000PA"
Corporate,Arun,Kumar,Bhattacharjee,Male,04-Feb-72,33,Married,377134.1083,Direct Mailer,Web,Active,Mature,Unemployed,2,Kesar Petroproducts Limited,,1050775.91,Bangalore,110007,Karnataka,India,44,"3,00,000PA to 4,00,000PA"
NRI,Rajesh,,Singh,Female,05-Jun-65,40,Single,103766.6474,Direct Mailer,Web,Inactive,Acquired,Self Employed,8,Nagarjuna Construction Company,Public,1409218.415,Pune,200097,Maharashtra,India,45,"1,00,000PA to 2,00,000PA"
Corporate,Renu,,Tyagi,Male,06-Dec-73,32,Single,250267.7432,Direct Mailer,Web,Active,Mature,Employed,6,G M S Computers India Limited,,1309572.824,Ahmedabad,215001,Gujarat,India,46,"2,00,000PA to 3,00,000PA"
Individual,Radhey,Shyam,Tyagi,Male,12-Mar-67,38,Single,496365.2628,Direct Mailer,Web,Active,Mature,Employed,1,Sarla Polyester Limited,,1195874.83,Ahmedabad,215008,Gujarat,India,47,"4,00,000PA to 5,00,000PA"
NRI,Laxmichand,,Chheda,Male,01-Nov-75,30,Married,384706.0909,SMS,Telephone,Inactive,Attrition,Unemployed,9,Allianz Capital & Management Services Limited,,1079529.65,Mumbai,400007,Maharashtra,India,48,"3,00,000PA to 4,00,000PA"
Individual,Bonifilis,,Chamany,Male,13-May-79,26,Single,190543.0634,Direct Mailer,Web,Dormant,Prospect,Employed,6,Radiant Rotogravure Limited,,1266160.928,Mangalore,130009,Karnataka,India,49,"1,00,000PA to 2,00,000PA"
Corporate,Subodh,,Bhel,Female,28-Nov-65,40,Single,365636.5083,Direct Mailer,Web,Active,Mature,Employed,3,·Beta Securities,,1152483.781,Mysore,110009,Karnataka,India,50,"3,00,000PA to 4,00,000PA"
NRI,Anil,,Topiwala,Male,12-May-72,33,Single,308846.2374,Direct Mailer,Web,Inactive,Acquired,Employed,6,Kanoria Chemicals & Industries Limited,,1340344.5,Mumbai,400052,Maharashtra,India,51,"3,00,000PA to 4,00,000PA"
Corporate,Shreegopal,,Jalan,Male,27-Oct-78,27,Married,220287.9305,Direct Mailer,Web,Active,Mature,Unemployed,7,Punjab Alkalies & Chemicals Limited,,1078357.845,Pune,200009,Maharashtra,India,52,"2,00,000PA to 3,00,000PA"
Individual,Niti,,Rastogi,Male,14-Sep-69,36,Single,138549.3011,Direct Mailer,Web,Active,Mature,Employed,8,Netvista Information Technology Limited,,1008738.05,Ahmedabad,215008,Gujarat,India,53,"1,00,000PA to 2,00,000PA"
NRI,Dhaniben,,Mistry,Male,06-Apr-69,36,Single,296390.142,SMS,Telephone,Inactive,Acquired,Self Employed,7,Titan Bio-Tech Limited,Private,1485189.035,Mumbai,400001,Maharashtra,India,54,"2,00,000PA to 3,00,000PA"
Individual,Sushama,,Rao,Female,02-May-79,26,Single,127894.0307,Direct Mailer,Web,Active,Mature,Employed,8,Tokyo Plast International Limited,,1358810.601,Bangalore,110007,Karnataka,India,55,"1,00,000PA to 2,00,000PA"
Corporate,Mohan,,Nair,Male,28-Mar-66,39,Married,496425.128,Direct Mailer,Web,Dormant,Attrition,Unemployed,9,Jumbo Bag Limited,,1423701.955,Pune,200098,Maharashtra,India,56,"4,00,000PA to 5,00,000PA"
NRI,Ramakant,,Dubey,Male,08-Nov-69,36,Single,298697.3888,Direct Mailer,Web,Inactive,Acquired,Employed,6,Tanu Health Care Limited,,1314161.616,Baroda,213050,Gujarat,India,57,"2,00,000PA to 3,00,000PA"
Corporate,Manoj,Kumar,Vats,Male,06-Dec-69,36,Single,407791.6843,Direct Mailer,Web,Active,Mature,Employed,7,Archies Limited,,1167080.256,Ahmedabad,215001,Gujarat,India,58,"4,00,000PA to 5,00,000PA"
Individual,Rakesh,,Sachdev,Male,14-Oct-76,29,Single,418497.6326,Direct Mailer,Web,Active,Mature,Employed,9,·Binaca Synthetics Resins,,1010130.212,Ahmedabad,215008,Gujarat,India,59,"4,00,000PA to 5,00,000PA"
NRI,P,V,Sankaranarayanan,Female,30-Apr-66,39,Married,494936.383,Email,SMS,Inactive,Acquired,Unemployed,9,India Gypsum Limited,,1102490.266,Pune,200097,Maharashtra,India,60,"4,00,000PA to 5,00,000PA"
Individual,Rohan,,Bhuta,Male,31-Dec-76,29,Single,279057.3356,Direct Mailer,Web,Active,Mature,Employed,7,Nucent Finance Limited,,1150404.762,Ahmedabad,215008,Gujarat,India,61,"2,00,000PA to 3,00,000PA"
Corporate,Hetal,,Shah,Male,18-Oct-77,28,Single,446922.4831,Direct Mailer,Web,Active,Mature,Employed,9,Raunaq Automotive Components Limited,,1057453.732,Ahmedabad,215001,Gujarat,India,62,"4,00,000PA to 5,00,000PA"
NRI,Giselle,,Fernandes,Male,28-Mar-76,29,Single,281698.5645,Direct Mailer,Web,Dormant,Prospect,Self Employed,1,Kemicare Products Limited,Public,1157937.436,Mysore,130010,Karnataka,India,63,"2,00,000PA to 3,00,000PA"
Corporate,Alka,,Shah,Male,15-Jun-70,35,Married,203103.0085,Direct Mailer,Web,Active,Attrition,Unemployed,4,Labh Construction And Industries Limited,,1308169.937,Mumbai,400007,Maharashtra,India,64,"2,00,000PA to 3,00,000PA"
Individual,Rajesh,Ratilal,Shah,Female,11-Dec-67,38,Single,396516.8198,Direct Mailer,Web,Active,Mature,Employed,7,Nivena Estate and Finance Limited,,1267198.903,Pune,200009,Maharashtra,India,65,"3,00,000PA to 4,00,000PA"
NRI,Priya,,Narayan,Male,18-Oct-72,33,Single,467944.573,SMS,Telephone,Inactive,Acquired,Employed,4,Indbank Merchant Banking Services Limited,,1093835.742,Bangalore,110007,Karnataka,India,66,"4,00,000PA to 5,00,000PA"
Individual,Neeta,,Modi,Male,10-Apr-66,39,Single,475497.7835,Direct Mailer,Web,Active,Mature,Employed,8,·IT Microsystems,,1480408.818,Ahmedabad,215008,Gujarat,India,67,"4,00,000PA to 5,00,000PA"
Corporate,Kuldip,Narayan,Khawarey,Male,24-Sep-77,28,Married,203189.4763,Direct Mailer,Web,Active,Mature,Unemployed,2,Supriya Pharmaceuticals Limited,,1274287.051,Mumbai,400052,Maharashtra,India,68,"2,00,000PA to 3,00,000PA"
NRI,Arvind,Shivnarayan,Jaju,Male,10-May-72,33,Single,126181.9411,Direct Mailer,Web,Inactive,Acquired,Employed,9,Oswal Chemicals & Fertilizers Limited,,1082086.387,Baroda,213050,Gujarat,India,69,"1,00,000PA to 2,00,000PA"
Corporate,Shaji,K,Joseph,Female,05-Jan-66,39,Single,301376.3971,Direct Mailer,Web,Dormant,Prospect,Employed,4,Desh Rakshak Aushdhalaya Limited,,1260863.67,Pune,200098,Maharashtra,India,70,"3,00,000PA to 4,00,000PA"
Individual,Ajabrao,,Modak,Male,02-Mar-68,37,Single,251246.9026,Direct Mailer,Web,Active,Mature,Employed,5,·Bagade India Engineering,,1165659.086,Ahmedabad,215008,Gujarat,India,71,"2,00,000PA to 3,00,000PA"
NRI,Sunita,Singha,Beura,Male,28-Jan-74,31,Married,218852.149,SMS,Telephone,Inactive,Attrition,Self Employed,3,Innovative Marine Foods Limited,Private,1160240.826,Mumbai,400001,Maharashtra,India,72,"2,00,000PA to 3,00,000PA"
Individual,Devendra,N,Dalal,Male,03-Apr-72,33,Single,265660.6988,Direct Mailer,Web,Active,Mature,Employed,3,S B E C Sugar Limited,,1047564.129,Ahmedabad,215008,Gujarat,India,73,"2,00,000PA to 3,00,000PA"
Corporate,Jayvanti,,Satra,Male,26-Dec-80,25,Single,273897.1534,Direct Mailer,Web,Active,Mature,Employed,3,Titan Bio-Tech Limited,,1215443.355,Ahmedabad,215001,Gujarat,India,74,"2,00,000PA to 3,00,000PA"
NRI,Avani,,Buch,Female,02-Mar-76,29,Single,167950.6755,Direct Mailer,Web,Inactive,Acquired,Employed,4,Santogen Exports Limited,,1427810.091,Pune,200097,Maharashtra,India,75,"1,00,000PA to 2,00,000PA"
Corporate,Sudershan,,Sood,Male,18-Sep-71,34,Married,191479.0448,Direct Mailer,Web,Active,Mature,Unemployed,9,·Balaji Amines,,1222090.023,Baroda,213013,Gujarat,India,76,"1,00,000PA to 2,00,000PA"
Individual,Bhavesh,,Parikh,Male,16-Jul-73,32,Single,418799.2125,Direct Mailer,Web,Dormant,Prospect,Employed,8,Infotrek Syscom Limited,,1003268.596,Bangalore,110007,Karnataka,India,77,"4,00,000PA to 5,00,000PA"
NRI,Surendra,,Das,Male,25-Sep-65,40,Single,483730.8114,SMS,Telephone,Inactive,Acquired,Employed,3,O C L India Limited,,1385101.764,Pune,200009,Maharashtra,India,78,"4,00,000PA to 5,00,000PA"
Individual,R,,Shantha,Male,24-Nov-67,38,Single,194684.1917,Direct Mailer,Web,Active,Mature,Employed,1,Oxemberg Apparels Limited,,1200006.829,Ahmedabad,215008,Gujarat,India,79,"1,00,000PA to 2,00,000PA"
Corporate,Barkha,,Sharma,Female,06-Jan-67,38,Married,260869.577,Direct Mailer,Web,Active,Attrition,Unemployed,5,Geekay Exim (India) Limited,,1433163.372,Mumbai,400007,Maharashtra,India,80,"2,00,000PA to 3,00,000PA"
NRI,Urmila,Prabhakar,Uparkar,Male,26-Apr-67,38,Single,301592.9145,Direct Mailer,Web,Inactive,Acquired,Self Employed,2,Q-Flex Cables Limited,Public,1371852.606,Mysore,130010,Karnataka,India,81,"3,00,000PA to 4,00,000PA"
Corporate,Kannath,Ignatius,Antony,Male,14-Jun-79,26,Single,253426.9049,Direct Mailer,Web,Active,Mature,Employed,5,Newton Engineering & Chemicals Limited,,1172062.264,Ahmedabad,215001,Gujarat,India,82,"2,00,000PA to 3,00,000PA"
Individual,Sangeeta,,Sharma,Male,16-May-66,39,Single,440755.5299,Direct Mailer,Web,Active,Mature,Employed,3,·Wyeth,,1042156.469,Ahmedabad,215008,Gujarat,India,83,"4,00,000PA to 5,00,000PA"
NRI,Ramdas,T,Ghugare,Male,29-Sep-68,37,Married,413684.7289,SMS,Telephone,Dormant,Prospect,Unemployed,9,Refnol Resins & Chemicals Limited,,1159842.752,Pune,200098,Maharashtra,India,84,"4,00,000PA to 5,00,000PA"
Individual,Umesh,,Gandhi,Female,22-Jul-69,36,Single,239481.1188,Direct Mailer,Web,Active,Mature,Employed,1,Scanet Exports Limited,,1250253.579,Mumbai,400052,Maharashtra,India,85,"2,00,000PA to 3,00,000PA"
Corporate,Usha,,Nair,Male,03-Jun-69,36,Single,306734.7822,Direct Mailer,Web,Active,Mature,Employed,5,·BCL Financial Services,,1232991.682,Ahmedabad,215001,Gujarat,India,86,"3,00,000PA to 4,00,000PA"
NRI,Rammohan,Ramchandra,Vemp,Male,15-Oct-70,35,Single,354527.6103,Direct Mailer,Web,Inactive,Acquired,Employed,7,Elpro International Limited,,1448431.913,Baroda,213050,Gujarat,India,87,"3,00,000PA to 4,00,000PA"
Corporate,Mahesh,,Maniar,Male,21-Jul-71,34,Married,141788.4913,Direct Mailer,Web,Active,Attrition,Unemployed,5,Gyan Developers & Builders Limited,,1344547.101,Bangalore,110007,Karnataka,India,88,"1,00,000PA to 2,00,000PA"
Individual,Binit,D,Divecha,Male,25-Feb-67,38,Single,308030.0308,Direct Mailer,Web,Active,Mature,Employed,4,Salem Textiles Limited,,1471642.435,Ahmedabad,215008,Gujarat,India,89,"3,00,000PA to 4,00,000PA"
NRI,Premratan,D,Daga,Female,23-Dec-70,35,Single,403544.4691,Fax,Direct Mailer,Inactive,Acquired,Self Employed,7,KTL Industries Limited,Private,1301850.345,Mumbai,400001,Maharashtra,India,90,"4,00,000PA to 5,00,000PA"
Individual,Sameer,,,Male,25-Mar-73,32,Single,350607.6989,Direct Mailer,Web,Dormant,Prospect,Employed,7,Intra Infotech Limited,,1048010.184,Pune,200009,Maharashtra,India,91,"3,00,000PA to 4,00,000PA"
Corporate,Kiran,,Malavia,Male,05-Sep-68,37,Married,490990.0691,Direct Mailer,Web,Active,Mature,Unemployed,8,Jaypee Hotels Limited,,1177569.471,Baroda,213013,Gujarat,India,92,"4,00,000PA to 5,00,000PA"
NRI,Shilpa,,Malavia,Male,24-Dec-69,36,Single,272505.0856,Direct Mailer,Web,Inactive,Acquired,Employed,3,Thiru Arooran Sugars Limited,,1228039.059,Baroda,213050,Gujarat,India,93,"2,00,000PA to 3,00,000PA"
Corporate,Mrugank,,Desai,Male,06-Aug-78,27,Single,345326.5786,Direct Mailer,Web,Active,Mature,Employed,6,Modern Terry Towels Limited,,1068684.459,Ahmedabad,215001,Gujarat,India,94,"3,00,000PA to 4,00,000PA"
Individual,Gouri,Girish,Desai,Female,06-Dec-76,29,Single,265114.5751,Direct Mailer,Web,Active,Mature,Employed,2,S Kumars Online Limited,,1035999.938,Surat,210030,Gujarat,India,95,"2,00,000PA to 3,00,000PA"
NRI,Kanakasabapathy,,Pandyan,Male,15-Jul-70,35,Married,125695.4113,SMS,Telephone,Inactive,Attrition,Unemployed,5,·Bharat Chemicals & Fertilizers Ltd,,1319351.769,Mumbai,400007,Maharashtra,India,96,"1,00,000PA to 2,00,000PA"
Individual,Pramod,,Khera,Male,03-Jun-77,28,Single,270980.2606,Direct Mailer,Web,Active,Mature,Employed,5,Sri Chakra Remedies Limited,,1109777.756,Ahmedabad,215008,Gujarat,India,97,"2,00,000PA to 3,00,000PA"
Corporate,Murali,,Iyer,Male,24-Sep-74,31,Single,403821.6272,Direct Mailer,Web,Dormant,Prospect,Employed,4,·Chembond Chemicals,,1417399.829,Pune,200098,Maharashtra,India,98,"4,00,000PA to 5,00,000PA"
NRI,Rajesh,Ravindra,Mane,Male,04-Jul-76,29,Single,266450.2668,Direct Mailer,Web,Inactive,Acquired,Self Employed,5,Tanu Health Care Limited,Public,1446867.357,Bangalore,110007,Karnataka,India,99,"2,00,000PA to 3,00,000PA"
Corporate,Manish,,,Female,19-Nov-77,28,Married,321871.3732,Direct Mailer,Web,Active,Mature,Unemployed,7,Sneh Constructions Limited,,1128881.257,Mysore,110009,Karnataka,India,100,"3,00,000PA to 4,00,000PA"
Individual,Kaushik,G,Desai,Male,18-May-68,37,Single,260824.74,Direct Mailer,Web,Active,Mature,Employed,5,·Balaji Amines,,1244147.365,Ahmedabad,215008,Gujarat,India,101,"2,00,000PA to 3,00,000PA"
NRI,Mitalee,M,Mehta,Male,19-Mar-68,37,Single,447624.9704,SMS,Telephone,Inactive,Acquired,Employed,3,Simran Farms Limited,,1080654.574,Mumbai,400052,Maharashtra,India,102,"4,00,000PA to 5,00,000PA"
Individual,Lata,J,Shah,Male,12-Sep-67,38,Single,315280.7492,Direct Mailer,Web,Active,Mature,Employed,3,Sonell Clocks & Gifts Limited,,1223255.871,Ahmedabad,215008,Gujarat,India,103,"3,00,000PA to 4,00,000PA"
Corporate,Manoj,P,Doshi,Male,29-Feb-72,33,Married,237759.9659,Direct Mailer,Web,Active,Attrition,Unemployed,7,Morarka Finance Limited,,1198912.836,Pune,200009,Maharashtra,India,104,"2,00,000PA to 3,00,000PA"
NRI,Riddhish,,Joshi,Female,27-Sep-67,38,Single,148197.0903,Direct Mailer,Web,Dormant,Prospect,Employed,7,Paramount Steels Limited,,1466501.881,Pune,200097,Maharashtra,India,105,"1,00,000PA to 2,00,000PA"
Corporate,Arti,,Bhandari,Male,26-Nov-80,25,Single,476386.6633,Direct Mailer,Web,Active,Mature,Employed,8,Sirdar Carbonic Gas Company Limited,,1475330.361,Ahmedabad,215001,Gujarat,India,106,"4,00,000PA to 5,00,000PA"
Individual,I,,Bhuta,Male,16-Nov-78,27,Single,492414.6777,Direct Mailer,Web,Active,Mature,Employed,8,Haryana Fibres Limited,,1377134.503,Ahmedabad,215008,Gujarat,India,107,"4,00,000PA to 5,00,000PA"
NRI,Sujeet,R,Jain,Male,19-Jul-67,38,Married,227478.405,SMS,Telephone,Inactive,Acquired,Self Employed,4,Model Financial Corporation Limited,Private,1293849.609,Mumbai,400001,Maharashtra,India,108,"2,00,000PA to 3,00,000PA"
Individual,Madura,,Mirchandani,Male,03-Nov-79,26,Single,447211.7206,Direct Mailer,Web,Active,Mature,Employed,5,Prism Finance Limited,,1358139.21,Ahmedabad,215008,Gujarat,India,109,"4,00,000PA to 5,00,000PA"
Corporate,Sushma,S,Prabhu,Female,03-Aug-69,36,Single,200587.345,Direct Mailer,Web,Active,Mature,Employed,8,Gratex Industries Limited,,1366133.655,Bangalore,110007,Karnataka,India,110,"2,00,000PA to 3,00,000PA"
NRI,Indira,,Mehta,Male,08-Apr-65,40,Single,123303.7887,Direct Mailer,Web,Inactive,Acquired,Employed,5,·Bhagwandas Auto Finance.,,1126780.239,Baroda,213050,Gujarat,India,111,"1,00,000PA to 2,00,000PA"
